date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:49:47	15131/15131	---M--	200	added ('OK')	image/gif	etag:%225a0faf87-3b1b%22	https://i.gifer.com/fetch/w300-preview/17/1748799abbb8735a7224a1bd7e3e48e1.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/i.gifer.com/fetch/w300-preview/17/1748799abbb8735a7224a1bd7e3e48e1.gif	(from https://shor.by/css/shorby-page.css?dc02a640)
20:49:47	6869/6869	---M--	200	added ('OK')	image/gif	etag:%2259846329-1ad5%22	https://i.gifer.com/fetch/w300-preview/45/4519426a4d6d2a8998d50254a17edcd9.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/i.gifer.com/fetch/w300-preview/45/4519426a4d6d2a8998d50254a17edcd9.gif	(from https://shor.by/css/shorby-page.css?dc02a640)
20:49:47	12730/12730	---M--	200	added ('OK')	image/gif	etag:%2259d7b7bb-31ba%22	https://i.gifer.com/fetch/w300-preview/85/85de149d2f6e29a94be5973f83590e66.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/i.gifer.com/fetch/w300-preview/85/85de149d2f6e29a94be5973f83590e66.gif	(from https://shor.by/css/shorby-page.css?dc02a640)
20:49:47	14608/14608	---M--	200	added ('OK')	image/gif	etag:%225985a93c-3910%22	https://i.gifer.com/fetch/w300-preview/a1/a1b77d9897075d70bbc2cecb4f327d70.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/i.gifer.com/fetch/w300-preview/a1/a1b77d9897075d70bbc2cecb4f327d70.gif	(from https://shor.by/css/shorby-page.css?dc02a640)
20:49:47	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Apr%202021%2010:49:48%20GMT	https://media.giphy.com/media/TgCPhBwZ4KNHy/giphy.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/media.giphy.com/media/TgCPhBwZ4KNHy/giphy.2c.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
20:49:48	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Apr%202021%2010:49:48%20GMT	https://media.giphy.com/media/f5qQF7tmX7LDqL4qLN/giphy.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/media.giphy.com/media/f5qQF7tmX7LDqL4qLN/giphy.2d.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
20:49:48	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Apr%202021%2010:49:49%20GMT	https://media.giphy.com/media/xT8qB19VdLq6b35Ayc/giphy.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/media.giphy.com/media/xT8qB19VdLq6b35Ayc/giphy.2e.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
20:49:48	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Apr%202021%2010:49:49%20GMT	https://media.giphy.com/media/h8vsYe3SrtrMI/giphy.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/media.giphy.com/media/h8vsYe3SrtrMI/giphy.2f.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
20:49:49	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Apr%202021%2010:49:49%20GMT	https://media.giphy.com/media/9rphpL7UByRxBmC2dV/giphy.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/media.giphy.com/media/9rphpL7UByRxBmC2dV/giphy.30.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
20:49:49	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Apr%202021%2010:49:50%20GMT	https://media.giphy.com/media/f9ShV0TsOHBUEToAyv/giphy.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/media.giphy.com/media/f9ShV0TsOHBUEToAyv/giphy.31.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
